요양기관명,총 의사 수,의과일반의 인원수,의과인턴 인원수,의과레지던트 인원수,의과전문의 인원수,치과일반의 인원수,치과인턴 인원수,치과레지던트 인원수,치과전문의 인원수,한방일반의 인원수,한방인턴 인원수,한방레지던트 인원수,한방전문의 인원수,조산사 인원수
마인드랩공간정신건강의학과의원,2,0,0,0,2,0,0,0,0,0,0,0,0,0
마인드맨션의원,2,0,0,0,2,0,0,0,0,0,0,0,0,0
마인드봄정신건강의학과의원,1,0,0,0,1,0,0,0,0,0,0,0,0,0
마인드성형외과의원,4,0,0,0,4,0,0,0,0,0,0,0,0,0
마인드애플정신건강의학과의원,2,0,0,0,2,0,0,0,0,0,0,0,0,0
마인드앤헬스의원,1,0,0,0,1,0,0,0,0,0,0,0,0,0
마인드온정신건강의학과의원,2,0,0,0,2,0,0,0,0,0,0,0,0,0
마인드정형외과의원,1,0,0,0,1,0,0,0,0,0,0,0,0,0
마인드카페정신건강의학과의원,1,0,0,0,1,0,0,0,0,0,0,0,0,0
마인드케어의원,1,0,0,0,1,0,0,0,0,0,0,0,0,0
마인드터치정신건강의학과의원,1,0,0,0,1,0,0,0,0,0,0,0,0,0
마인드풀정신건강의학과의원,1,0,0,0,1,0,0,0,0,0,0,0,0,0
마인드피부과의원,2,0,0,0,2,0,0,0,0,0,0,0,0,0
마인드필정신건강의학과의원,1,0,0,0,1,0,0,0,0,0,0,0,0,0
마인드힐링정신건강의학과의원,1,0,0,0,1,0,0,0,0,0,0,0,0,0
마인드힐정신건강의학과의원,1,0,0,0,1,0,0,0,0,0,0,0,0,0
마인미의원,1,0,0,0,1,0,0,0,0,0,0,0,0,0
마인성형외과의원,2,0,0,0,2,0,0,0,0,0,0,0,0,0
마일스톤소아청소년과의원,1,0,0,0,1,0,0,0,0,0,0,0,0,0
마장내과의원,1,0,0,0,1,0,0,0,0,0,0,0,0,0
마재숙하트소아청소년과의원,1,0,0,0,1,0,0,0,0,0,0,0,0,0
마전참사랑의원,1,1,0,0,0,0,0,0,0,0,0,0,0,0
마천서울내과의원,2,0,0,0,2,0,0,0,0,0,0,0,0,0
마천우리신경과의원,1,0,0,0,1,0,0,0,0,0,0,0,0,0
마침표성형외과의원,1,0,0,0,1,0,0,0,0,0,0,0,0,0
마크성형외과의원,1,0,0,0,1,0,0,0,0,0,0,0,0,0
마크원외과의원,2,0,0,0,2,0,0,0,0,0,0,0,0,0
마트소아청소년과의원,1,0,0,0,1,0,0,0,0,0,0,0,0,0
마트소아청소년과의원,1,0,0,0,1,0,0,0,0,0,0,0,0,0
마트의원,1,0,0,0,1,0,0,0,0,0,0,0,0,0
마포공덕에스앤유피부과의원,4,1,0,0,3,0,0,0,0,0,0,0,0,0
마포공덕튼튼본정형외과의원,4,0,0,0,4,0,0,0,0,0,0,0,0,0
마포늘푸른의원,1,0,0,0,1,0,0,0,0,0,0,0,0,0
마포리더스내과의원,3,0,0,0,3,0,0,0,0,0,0,0,0,0
마포마취통증의학과의원,1,0,0,0,1,0,0,0,0,0,0,0,0,0
마포바로본정형외과의원,4,0,0,0,4,0,0,0,0,0,0,0,0,0
마포성모정신건강의학과의원,2,0,0,0,2,0,0,0,0,0,0,0,0,0
마포안과의원,1,0,0,0,1,0,0,0,0,0,0,0,0,0
마포의료복지사회적협동조합 무지개의원,1,0,0,0,1,0,0,0,0,0,0,0,0,0
마포정형외과의원,1,0,0,0,1,0,0,0,0,0,0,0,0,0
마포척척마취통증의학과의원,2,0,0,0,2,0,0,0,0,0,0,0,0,0
마포탑안과의원,1,0,0,0,1,0,0,0,0,0,0,0,0,0
마포합정본정형외과의원,3,0,0,0,3,0,0,0,0,0,0,0,0,0
마학기가정의학과의원,1,0,0,0,1,0,0,0,0,0,0,0,0,0
만덕사랑의원,1,0,0,0,1,0,0,0,0,0,0,0,0,0
만덕속시원내과의원,2,0,0,0,2,0,0,0,0,0,0,0,0,0
만리서울정형외과의원,1,0,0,0,1,0,0,0,0,0,0,0,0,0
만석의원,1,1,0,0,0,0,0,0,0,0,0,0,0,0
만성샘소아청소년과의원,2,0,0,0,2,0,0,0,0,0,0,0,0,0
만성시원마취통증의학과의원,1,0,0,0,1,0,0,0,0,0,0,0,0,0
만성연합내과산부인과의원,3,0,0,0,3,0,0,0,0,0,0,0,0,0
만세정형외과의원,1,0,0,0,1,0,0,0,0,0,0,0,0,0
만수K정형외과의원,1,0,0,0,1,0,0,0,0,0,0,0,0,0
만수마취통증의학과의원,1,0,0,0,1,0,0,0,0,0,0,0,0,0
만수서울이비인후과의원,1,0,0,0,1,0,0,0,0,0,0,0,0,0
만수성심외과의원,1,0,0,0,1,0,0,0,0,0,0,0,0,0
만수연세정형외과의원,1,0,0,0,1,0,0,0,0,0,0,0,0,0
만수연합의원,1,0,0,0,1,0,0,0,0,0,0,0,0,0
만수중앙의원,1,0,0,0,1,0,0,0,0,0,0,0,0,0
만인마취통증의학과의원,2,0,0,0,2,0,0,0,0,0,0,0,0,0
만종의원,1,0,0,0,1,0,0,0,0,0,0,0,0,0
만촌 더설레임피부과의원,1,0,0,0,1,0,0,0,0,0,0,0,0,0
만촌숲정신건강의학과의원,1,0,0,0,1,0,0,0,0,0,0,0,0,0
만촌에스의원,1,0,0,0,1,0,0,0,0,0,0,0,0,0
만택루쎄의원,4,0,0,0,4,0,0,0,0,0,0,0,0,0
만평연합의원,1,0,0,0,1,0,0,0,0,0,0,0,0,0
말바우재활의학과의원,1,0,0,0,1,0,0,0,0,0,0,0,0,0
맑고고운라벨라의원,1,0,0,0,1,0,0,0,0,0,0,0,0,0
맑고고운의원,1,0,0,0,1,0,0,0,0,0,0,0,0,0
맑고고운의원,1,1,0,0,0,0,0,0,0,0,0,0,0,0
맑고고운의원,1,1,0,0,0,0,0,0,0,0,0,0,0,0
맑고고운의원,1,0,0,0,1,0,0,0,0,0,0,0,0,0
맑고고운의원,2,2,0,0,0,0,0,0,0,0,0,0,0,0
맑고고운의원 수원점,1,0,0,0,1,0,0,0,0,0,0,0,0,0
맑고밝은이비인후과의원,1,0,0,0,1,0,0,0,0,0,0,0,0,0
맑은 이비인후과 의원,1,0,0,0,1,0,0,0,0,0,0,0,0,0
맑은결의원,2,1,0,0,1,0,0,0,0,0,0,0,0,0
맑은기억 정신건강의학과의원,2,0,0,0,2,0,0,0,0,0,0,0,0,0
맑은남내과의원,2,0,0,0,2,0,0,0,0,0,0,0,0,0
맑은내과외과의원,2,0,0,0,2,0,0,0,0,0,0,0,0,0
맑은내과의원,1,0,0,0,1,0,0,0,0,0,0,0,0,0
맑은내과의원,1,0,0,0,1,0,0,0,0,0,0,0,0,0
맑은내과의원,1,0,0,0,1,0,0,0,0,0,0,0,0,0
맑은누리의원,2,2,0,0,0,0,0,0,0,0,0,0,0,0
맑은눈안과의원,1,0,0,0,1,0,0,0,0,0,0,0,0,0
맑은눈안과의원,1,0,0,0,1,0,0,0,0,0,0,0,0,0
맑은눈안과의원,3,0,0,0,3,0,0,0,0,0,0,0,0,0
맑은눈안과의원,1,0,0,0,1,0,0,0,0,0,0,0,0,0
맑은눈안과의원,1,0,0,0,1,0,0,0,0,0,0,0,0,0
맑은눈안과의원,1,0,0,0,1,0,0,0,0,0,0,0,0,0
맑은담내과의원,2,0,0,0,2,0,0,0,0,0,0,0,0,0
맑은동안의원,1,0,0,0,1,0,0,0,0,0,0,0,0,0
맑은마음의원,1,0,0,0,1,0,0,0,0,0,0,0,0,0
맑은마음의원,2,0,0,0,2,0,0,0,0,0,0,0,0,0
맑은마음정신건강의학과의원,1,0,0,0,1,0,0,0,0,0,0,0,0,0
맑은마음정신과의원,1,0,0,0,1,0,0,0,0,0,0,0,0,0
맑은마음정신과의원,1,0,0,0,1,0,0,0,0,0,0,0,0,0
맑은머리김동욱신경과의원,2,0,0,0,2,0,0,0,0,0,0,0,0,0
맑은머리신경과의원,1,0,0,0,1,0,0,0,0,0,0,0,0,0
맑은문피부과의원,1,0,0,0,1,0,0,0,0,0,0,0,0,0
맑은물빛의원,1,0,0,0,1,0,0,0,0,0,0,0,0,0
맑은미소내과의원,1,0,0,0,1,0,0,0,0,0,0,0,0,0
맑은미피부과의원,1,0,0,0,1,0,0,0,0,0,0,0,0,0
맑은병리과의원,2,0,0,0,2,0,0,0,0,0,0,0,0,0
맑은빛성모안과의원,1,0,0,0,1,0,0,0,0,0,0,0,0,0
맑은샘가정의학과의원,1,0,0,0,1,0,0,0,0,0,0,0,0,0
맑은샘내과의원,2,0,0,0,2,0,0,0,0,0,0,0,0,0
맑은샘내과의원,1,0,0,0,1,0,0,0,0,0,0,0,0,0
맑은샘내과의원,1,0,0,0,1,0,0,0,0,0,0,0,0,0
맑은샘내과의원,1,0,0,0,1,0,0,0,0,0,0,0,0,0
맑은샘내과의원,1,0,0,0,1,0,0,0,0,0,0,0,0,0
맑은샘내과의원,2,0,0,0,2,0,0,0,0,0,0,0,0,0
맑은샘서울내과의원,1,0,0,0,1,0,0,0,0,0,0,0,0,0
맑은샘소아청소년과의원,1,0,0,0,1,0,0,0,0,0,0,0,0,0
맑은샘의원,1,0,0,0,1,0,0,0,0,0,0,0,0,0
맑은샘의원,1,1,0,0,0,0,0,0,0,0,0,0,0,0
맑은샘이비인후과의원,1,0,0,0,1,0,0,0,0,0,0,0,0,0
맑은샘이비인후과의원,1,0,0,0,1,0,0,0,0,0,0,0,0,0
맑은샘이비인후과의원,4,0,0,0,4,0,0,0,0,0,0,0,0,0
맑은샘이비인후과의원,1,0,0,0,1,0,0,0,0,0,0,0,0,0
맑은샘이비인후과의원,1,0,0,0,1,0,0,0,0,0,0,0,0,0
맑은샘정신건강의학과의원,1,0,0,0,1,0,0,0,0,0,0,0,0,0
맑은샘정신건강의학과의원,1,0,0,0,1,0,0,0,0,0,0,0,0,0
맑은서울가정의원,2,0,0,0,2,0,0,0,0,0,0,0,0,0
맑은서울의원,1,0,0,0,1,0,0,0,0,0,0,0,0,0
맑은서울이비인후과의원,3,1,0,0,2,0,0,0,0,0,0,0,0,0
맑은석피부과의원,3,0,0,0,3,0,0,0,0,0,0,0,0,0
맑은성모의원,1,0,0,0,1,0,0,0,0,0,0,0,0,0
맑은성모의원,1,0,0,0,1,0,0,0,0,0,0,0,0,0
맑은성모이비인후과의원,1,0,0,0,1,0,0,0,0,0,0,0,0,0
맑은성모이비인후과의원,1,0,0,0,1,0,0,0,0,0,0,0,0,0
맑은성모이비인후과의원,1,0,0,0,1,0,0,0,0,0,0,0,0,0
맑은성모이비인후과의원,1,0,0,0,1,0,0,0,0,0,0,0,0,0
맑은성모이비인후과의원,1,0,0,0,1,0,0,0,0,0,0,0,0,0
맑은성모이비인후과의원,1,0,0,0,1,0,0,0,0,0,0,0,0,0
맑은성모이비인후과의원,1,0,0,0,1,0,0,0,0,0,0,0,0,0
맑은성모이비인후과의원,1,0,0,0,1,0,0,0,0,0,0,0,0,0
맑은성모이비인후과의원,1,0,0,0,1,0,0,0,0,0,0,0,0,0
맑은성심피부과의원,1,0,0,0,1,0,0,0,0,0,0,0,0,0
"맑은세상의원(구:제원의원,고운세상의원)",1,1,0,0,0,0,0,0,0,0,0,0,0,0
맑은세상정신건강의학과의원,1,0,0,0,1,0,0,0,0,0,0,0,0,0
맑은세상피부과의원,1,0,0,0,1,0,0,0,0,0,0,0,0,0
맑은소리최정섭이비인후과의원,1,0,0,0,1,0,0,0,0,0,0,0,0,0
맑은솔이비인후과의원,1,0,0,0,1,0,0,0,0,0,0,0,0,0
맑은수내과의원,1,0,0,0,1,0,0,0,0,0,0,0,0,0
맑은수면이비인후과의원,2,0,0,0,2,0,0,0,0,0,0,0,0,0
맑은수피부과의원,1,0,0,0,1,0,0,0,0,0,0,0,0,0
맑은숨내과의원,1,0,0,0,1,0,0,0,0,0,0,0,0,0
맑은숨우리내과의원,4,0,0,0,4,0,0,0,0,0,0,0,0,0
맑은숨이비인후과의원,3,0,0,0,3,0,0,0,0,0,0,0,0,0
맑은숨이비인후과의원,1,0,0,0,1,0,0,0,0,0,0,0,0,0
맑은숨이비인후과의원,1,0,0,0,1,0,0,0,0,0,0,0,0,0
맑은숲이비인후과의원,1,0,0,0,1,0,0,0,0,0,0,0,0,0
맑은숲이비인후과의원,1,0,0,0,1,0,0,0,0,0,0,0,0,0
맑은숲이비인후과의원,1,0,0,0,1,0,0,0,0,0,0,0,0,0
맑은신경과의원,1,0,0,0,1,0,0,0,0,0,0,0,0,0
맑은아침안과의원,1,0,0,0,1,0,0,0,0,0,0,0,0,0
맑은안과의원,1,0,0,0,1,0,0,0,0,0,0,0,0,0
맑은안과의원,1,0,0,0,1,0,0,0,0,0,0,0,0,0
맑은안과의원,1,0,0,0,1,0,0,0,0,0,0,0,0,0
맑은안과의원,2,0,0,0,2,0,0,0,0,0,0,0,0,0
맑은얼굴의원,2,1,0,0,1,0,0,0,0,0,0,0,0,0
맑은얼굴피부과의원,1,0,0,0,1,0,0,0,0,0,0,0,0,0
맑은연세안과의원,1,0,0,0,1,0,0,0,0,0,0,0,0,0
맑은연세의원,1,0,0,0,1,0,0,0,0,0,0,0,0,0
맑은연합이비인후과의원,2,0,0,0,2,0,0,0,0,0,0,0,0,0
맑은우리피부과의원,1,0,0,0,1,0,0,0,0,0,0,0,0,0
맑은유비뇨기과의원,1,0,0,0,1,0,0,0,0,0,0,0,0,0
맑은유영상의학과의원,1,0,0,0,1,0,0,0,0,0,0,0,0,0
맑은윤의원,3,1,0,0,2,0,0,0,0,0,0,0,0,0
맑은윤피부과의원,2,0,0,0,2,0,0,0,0,0,0,0,0,0
맑은의원,1,0,0,0,1,0,0,0,0,0,0,0,0,0
맑은의원,1,0,0,0,1,0,0,0,0,0,0,0,0,0
맑은의원,1,0,0,0,1,0,0,0,0,0,0,0,0,0
맑은의원,1,1,0,0,0,0,0,0,0,0,0,0,0,0
맑은의원,1,0,0,0,1,0,0,0,0,0,0,0,0,0
맑은이비인후과의원,1,0,0,0,1,0,0,0,0,0,0,0,0,0
맑은이비인후과의원,1,0,0,0,1,0,0,0,0,0,0,0,0,0
맑은이비인후과의원,1,0,0,0,1,0,0,0,0,0,0,0,0,0
맑은이비인후과의원,1,0,0,0,1,0,0,0,0,0,0,0,0,0
맑은이비인후과의원,1,0,0,0,1,0,0,0,0,0,0,0,0,0
맑은이비인후과의원,3,0,0,0,3,0,0,0,0,0,0,0,0,0
맑은이비인후과의원,1,0,0,0,1,0,0,0,0,0,0,0,0,0
맑은이비인후과의원,1,0,0,0,1,0,0,0,0,0,0,0,0,0
맑은이비인후과의원,1,0,0,0,1,0,0,0,0,0,0,0,0,0
맑은이비인후과의원,1,0,0,0,1,0,0,0,0,0,0,0,0,0
맑은이비인후과의원,1,0,0,0,1,0,0,0,0,0,0,0,0,0
맑은정신건강의학과의원,1,0,0,0,1,0,0,0,0,0,0,0,0,0
맑은정신건강의학과의원,1,0,0,0,1,0,0,0,0,0,0,0,0,0
맑은정신건강의학과의원,1,0,0,0,1,0,0,0,0,0,0,0,0,0
맑은코아이비인후과의원,1,0,0,0,1,0,0,0,0,0,0,0,0,0
맑은코아이비인후과의원,1,0,0,0,1,0,0,0,0,0,0,0,0,0
맑은풍경 문 정신건강의학과의원,1,0,0,0,1,0,0,0,0,0,0,0,0,0
맑은피부과의원,1,0,0,0,1,0,0,0,0,0,0,0,0,0
맑은피부과의원,1,0,0,0,1,0,0,0,0,0,0,0,0,0
맑은피부과의원,2,1,0,0,1,0,0,0,0,0,0,0,0,0
맑은피부과의원,1,0,0,0,1,0,0,0,0,0,0,0,0,0
맑은피부과의원,1,0,0,0,1,0,0,0,0,0,0,0,0,0
맑은피부과의원,1,0,0,0,1,0,0,0,0,0,0,0,0,0
맑은하늘마취통증의학과의원,1,0,0,0,1,0,0,0,0,0,0,0,0,0
맑은하늘이비인후과의원,2,0,0,0,2,0,0,0,0,0,0,0,0,0
맑은하늘정형외과의원,1,0,0,0,1,0,0,0,0,0,0,0,0,0
맑은하루신경과의원,1,0,0,0,1,0,0,0,0,0,0,0,0,0
맑은하루이비인후과의원,1,0,0,0,1,0,0,0,0,0,0,0,0,0
맑을아 의원,1,0,0,0,1,0,0,0,0,0,0,0,0,0
맑음내과의원,2,1,0,0,1,0,0,0,0,0,0,0,0,0
맑음내과의원,1,0,0,0,1,0,0,0,0,0,0,0,0,0
맑음정신건강의학과의원,1,0,0,0,1,0,0,0,0,0,0,0,0,0
맑음정신건강의학과의원,1,0,0,0,1,0,0,0,0,0,0,0,0,0
맑음플러스이비인후과의원,1,0,0,0,1,0,0,0,0,0,0,0,0,0
맘마외과의원,2,0,0,0,2,0,0,0,0,0,0,0,0,0
맘모스소아청소년과의원,1,0,0,0,1,0,0,0,0,0,0,0,0,0
맘모스의원,1,0,0,0,1,0,0,0,0,0,0,0,0,0
맘모스헤어라인의원,1,0,0,0,1,0,0,0,0,0,0,0,0,0
맘모스헤어라인의원,1,0,0,0,1,0,0,0,0,0,0,0,0,0
맘소아청소년과의원,1,0,0,0,1,0,0,0,0,0,0,0,0,0
맘스맘연합소아청소년과의원,1,0,0,0,1,0,0,0,0,0,0,0,0,0
맘스미산부인과의원,1,0,0,0,1,0,0,0,0,0,0,0,0,0
맘스외과성형외과의원,2,0,0,0,2,0,0,0,0,0,0,0,0,0
맘스유외과의원,1,0,0,0,1,0,0,0,0,0,0,0,0,0
맘시티소아청소년과의원,1,0,0,0,1,0,0,0,0,0,0,0,0,0
맘앤맘소아청소년과의원,2,0,0,0,2,0,0,0,0,0,0,0,0,0
맘앤차일드소아청소년과의원,1,0,0,0,1,0,0,0,0,0,0,0,0,0
맘외과의원,2,0,0,0,2,0,0,0,0,0,0,0,0,0
맘정신건강의학과의원,1,0,0,0,1,0,0,0,0,0,0,0,0,0
맘초이스내과소아청소년과의원,2,0,0,0,2,0,0,0,0,0,0,0,0,0
맘톡톡정신건강의학과의원,1,0,0,0,1,0,0,0,0,0,0,0,0,0
맘튼정신건강의학과의원,1,0,0,0,1,0,0,0,0,0,0,0,0,0
맘편안의원,1,1,0,0,0,0,0,0,0,0,0,0,0,0
맘편한내과의원,4,0,0,0,4,0,0,0,0,0,0,0,0,0
맘편한내과의원,1,0,0,0,1,0,0,0,0,0,0,0,0,0
맘편한내과의원,1,0,0,0,1,0,0,0,0,0,0,0,0,0
맘편한내과의원,2,0,0,0,2,0,0,0,0,0,0,0,0,0
맘편한산부인과의원,3,0,0,0,3,0,0,0,0,0,0,0,0,0
맘편한여성의원,1,0,0,0,1,0,0,0,0,0,0,0,0,0
맘편한정신건강의학과의원,1,0,0,0,1,0,0,0,0,0,0,0,0,0
맘편한정신건강의학과의원,1,0,0,0,1,0,0,0,0,0,0,0,0,0
망우기독의원,1,1,0,0,0,0,0,0,0,0,0,0,0,0
망우역튼튼척의원,3,0,0,0,3,0,0,0,0,0,0,0,0,0
망우이지함피부과의원,1,0,0,0,1,0,0,0,0,0,0,0,0,0
망운가정의원,1,0,0,0,1,0,0,0,0,0,0,0,0,0
매교성모이비인후과의원,1,0,0,0,1,0,0,0,0,0,0,0,0,0
매교하늘이비인후과의원,2,0,0,0,2,0,0,0,0,0,0,0,0,0
매일36.5의원,1,0,0,0,1,0,0,0,0,0,0,0,0,0
매일본정형외과신경외과의원,2,0,0,0,2,0,0,0,0,0,0,0,0,0
매일빛나는의원,1,1,0,0,0,0,0,0,0,0,0,0,0,0
매일연합의원,1,0,0,0,1,0,0,0,0,0,0,0,0,0
매일참사랑의원,1,0,0,0,1,0,0,0,0,0,0,0,0,0
매일튼튼의원,1,0,0,0,1,0,0,0,0,0,0,0,0,0
매직성형외과의원,1,0,0,0,1,0,0,0,0,0,0,0,0,0
매직피부과의원,1,0,0,0,1,0,0,0,0,0,0,0,0,0
매탄삼성내과의원,2,0,0,0,2,0,0,0,0,0,0,0,0,0
매포의원,1,0,0,0,1,0,0,0,0,0,0,0,0,0
매현가정의학과의원,1,0,0,0,1,0,0,0,0,0,0,0,0,0
매홀의료소비자생활협동조합 매홀의원,0,0,0,0,0,0,0,0,0,0,0,0,0,0
매화가정의학과의원,1,0,0,0,1,0,0,0,0,0,0,0,0,0
맥마취통증의학과의원,1,0,0,0,1,0,0,0,0,0,0,0,0,0
맥마취통증의학과의원,1,0,0,0,1,0,0,0,0,0,0,0,0,0
맥수면이비인후과의원,5,0,0,0,5,0,0,0,0,0,0,0,0,0
맥스모외과의원,1,0,0,0,1,0,0,0,0,0,0,0,0,0
맥스웰의원,4,2,0,0,2,0,0,0,0,0,0,0,0,0
맥스웰피부과의원,4,1,0,0,3,0,0,0,0,0,0,0,0,0
맥스웰피부과의원,4,0,0,0,4,0,0,0,0,0,0,0,0,0
맥의원,1,0,0,0,1,0,0,0,0,0,0,0,0,0
맥이비인후과의원,1,0,0,0,1,0,0,0,0,0,0,0,0,0
맥피부과의원,1,0,0,0,1,0,0,0,0,0,0,0,0,0
맨스톤비뇨의학과의원,1,0,0,0,1,0,0,0,0,0,0,0,0,0
맨스톤비뇨의학과의원,1,0,0,0,1,0,0,0,0,0,0,0,0,0
맨스톤의원,1,0,0,0,1,0,0,0,0,0,0,0,0,0
맨앤네이처 성형외과의원,1,0,0,0,1,0,0,0,0,0,0,0,0,0
맨앤우먼비뇨의학과의원,1,0,0,0,1,0,0,0,0,0,0,0,0,0
맨앤우먼의원,1,0,0,0,1,0,0,0,0,0,0,0,0,0
맨유비뇨기과의원,1,0,0,0,1,0,0,0,0,0,0,0,0,0
맨즈업남성의원,1,0,0,0,1,0,0,0,0,0,0,0,0,0
맨즈업남성의원,1,0,0,0,1,0,0,0,0,0,0,0,0,0
맨즈업남성의원,1,0,0,0,1,0,0,0,0,0,0,0,0,0
맨투남성의원,1,1,0,0,0,0,0,0,0,0,0,0,0,0
맨투맨남성의원,1,0,0,0,1,0,0,0,0,0,0,0,0,0
맹소아청소년과의원,1,0,0,0,1,0,0,0,0,0,0,0,0,0
맹주석소아과의원,1,0,0,0,1,0,0,0,0,0,0,0,0,0
맹해성이비인후과의원,1,0,0,0,1,0,0,0,0,0,0,0,0,0
머스트성형외과의원,1,0,0,0,1,0,0,0,0,0,0,0,0,0
먹골바른신경외과의원,2,0,0,0,2,0,0,0,0,0,0,0,0,0
먹골본내과의원,2,0,0,0,2,0,0,0,0,0,0,0,0,0
멀츠아시아퍼시픽피티이엘티디(영업소)부속의원,1,1,0,0,0,0,0,0,0,0,0,0,0,0
멋진남성의원,1,1,0,0,0,0,0,0,0,0,0,0,0,0
메가마취통증의학과의원,1,0,0,0,1,0,0,0,0,0,0,0,0,0
메가비뇨기과의원(강서마곡점),2,0,0,0,2,0,0,0,0,0,0,0,0,0
메가비뇨의학과의원,2,0,0,0,2,0,0,0,0,0,0,0,0,0
메가비뇨의학과의원,1,0,0,0,1,0,0,0,0,0,0,0,0,0
메가비뇨의학과의원,1,0,0,0,1,0,0,0,0,0,0,0,0,0
메가비뇨의학과의원,1,0,0,0,1,0,0,0,0,0,0,0,0,0
메가비뇨의학과의원,1,0,0,0,1,0,0,0,0,0,0,0,0,0
메덴스연합의원,1,0,0,0,1,0,0,0,0,0,0,0,0,0
메드윈비뇨의학과의원,1,0,0,0,1,0,0,0,0,0,0,0,0,0
메드필의원,1,0,0,0,1,0,0,0,0,0,0,0,0,0
메디365플러스의원,1,1,0,0,0,0,0,0,0,0,0,0,0,0
메디Q의원,1,1,0,0,0,0,0,0,0,0,0,0,0,0
메디누리미의원,1,0,0,0,1,0,0,0,0,0,0,0,0,0
메디라움의원,1,0,0,0,1,0,0,0,0,0,0,0,0,0
메디라인의원,1,1,0,0,0,0,0,0,0,0,0,0,0,0
메디렌느산부인과의원,1,0,0,0,1,0,0,0,0,0,0,0,0,0
메디모아소아청소년과의원,1,0,0,0,1,0,0,0,0,0,0,0,0,0
메디모아의원,2,0,0,0,2,0,0,0,0,0,0,0,0,0
메디모아의원,1,0,0,0,1,0,0,0,0,0,0,0,0,0
메디미의원,1,0,0,0,1,0,0,0,0,0,0,0,0,0
메디미의원,1,1,0,0,0,0,0,0,0,0,0,0,0,0
메디미의원,1,0,0,0,1,0,0,0,0,0,0,0,0,0
메디베베소아청소년과의원,1,0,0,0,1,0,0,0,0,0,0,0,0,0
메디벨의원,1,0,0,0,1,0,0,0,0,0,0,0,0,0
메디사랑의원,1,0,0,0,1,0,0,0,0,0,0,0,0,0
메디서울이비인후과의원,1,0,0,0,1,0,0,0,0,0,0,0,0,0
메디서울이비인후과의원,1,0,0,0,1,0,0,0,0,0,0,0,0,0
메디서울이비인후과의원,1,0,0,0,1,0,0,0,0,0,0,0,0,0
메디서울이비인후과의원,1,0,0,0,1,0,0,0,0,0,0,0,0,0
메디서울이비인후과의원,1,0,0,0,1,0,0,0,0,0,0,0,0,0
메디셀의원,1,0,0,0,1,0,0,0,0,0,0,0,0,0
메디셀플러스의원,3,0,0,0,3,0,0,0,0,0,0,0,0,0
메디수의원,1,0,0,0,1,0,0,0,0,0,0,0,0,0
메디스캔의원,5,0,0,0,5,0,0,0,0,0,0,0,0,0
메디스콥영상의학과의원,2,0,0,0,2,0,0,0,0,0,0,0,0,0
메디스포정형외과의원,1,0,0,0,1,0,0,0,0,0,0,0,0,0
메디슬림의원,1,0,0,0,1,0,0,0,0,0,0,0,0,0
메디신마취통증의학과의원,1,0,0,0,1,0,0,0,0,0,0,0,0,0
메디아트의원,1,0,0,0,1,0,0,0,0,0,0,0,0,0
메디아트의원,1,0,0,0,1,0,0,0,0,0,0,0,0,0
메디아트의원,1,0,0,0,1,0,0,0,0,0,0,0,0,0
메디안내과의원,1,0,0,0,1,0,0,0,0,0,0,0,0,0
메디안비뇨기과의원,1,0,0,0,1,0,0,0,0,0,0,0,0,0
메디앙정형외과의원,1,0,0,0,1,0,0,0,0,0,0,0,0,0
메디앤이비인후과의원,1,0,0,0,1,0,0,0,0,0,0,0,0,0
메디에스의원,1,0,0,0,1,0,0,0,0,0,0,0,0,0
메디에스의원,1,0,0,0,1,0,0,0,0,0,0,0,0,0
메디엘라산부인과의원,1,0,0,0,1,0,0,0,0,0,0,0,0,0
메디오의원,0,0,0,0,0,0,0,0,0,0,0,0,0,0
메디올의원,1,0,0,0,1,0,0,0,0,0,0,0,0,0
메디우먼여성의원,5,0,0,0,5,0,0,0,0,0,0,0,0,0
메디원내과의원,1,0,0,0,1,0,0,0,0,0,0,0,0,0
메디원변재광의원,1,0,0,0,1,0,0,0,0,0,0,0,0,0
메디원의원,0,0,0,0,0,0,0,0,0,0,0,0,0,0
메디월드의원,1,0,0,0,1,0,0,0,0,0,0,0,0,0
메디웰아주내과의원,1,0,0,0,1,0,0,0,0,0,0,0,0,0
메디웰의원,1,0,0,0,1,0,0,0,0,0,0,0,0,0
메디웰준이비인후과의원,1,0,0,0,1,0,0,0,0,0,0,0,0,0
메디의원,2,1,0,0,1,0,0,0,0,0,0,0,0,0
메디척정형외과의원,1,0,0,0,1,0,0,0,0,0,0,0,0,0
메디칼1307의원,1,0,0,0,1,0,0,0,0,0,0,0,0,0
메디칼마취통증의학과신경외과의원,2,0,0,0,2,0,0,0,0,0,0,0,0,0
메디칼안과의원,1,0,0,0,1,0,0,0,0,0,0,0,0,0
메디칼이비인후과의원,1,0,0,0,1,0,0,0,0,0,0,0,0,0
메디칼항외과의원,1,0,0,0,1,0,0,0,0,0,0,0,0,0
메디캐슬의원,1,0,0,0,1,0,0,0,0,0,0,0,0,0
메디캐치 정형외과의원,1,0,0,0,1,0,0,0,0,0,0,0,0,0
메디캐치의원,2,0,0,0,2,0,0,0,0,0,0,0,0,0
메디컬닥터스 유웰여성의원,1,0,0,0,1,0,0,0,0,0,0,0,0,0
메디컬닥터스속시원내과의원,2,0,0,0,2,0,0,0,0,0,0,0,0,0
메디컬밸런스의원,1,0,0,0,1,0,0,0,0,0,0,0,0,0
